epoch,human_srcc,human_acc5,human_acc10,srcc,acc5,acc10
0,0.759,0.503,0.713,0.743,0.524,0.692
1,0.728,0.462,0.651,0.756,0.5,0.68
2,0.746,0.482,0.642,0.729,0.53,0.687
3,0.769,0.504,0.68,0.75,0.534,0.703
4,0.727,0.457,0.637,0.734,0.475,0.674
5,0.763,0.499,0.675,0.761,0.541,0.717
6,0.753,0.585,0.76,0.755,0.569,0.732
7,0.761,0.498,0.656,0.764,0.54,0.699
8,0.782,0.55,0.755,0.766,0.562,0.737
9,0.741,0.541,0.701,0.75,0.542,0.709
best human_srcc(epoch-8),0.782,0.55,0.755,0.766,0.562,0.737
best human_acc5(epoch-6),0.753,0.585,0.76,0.755,0.569,0.732
best human_acc10(epoch-6),0.753,0.585,0.76,0.755,0.569,0.732
best srcc(epoch-8),0.782,0.55,0.755,0.766,0.562,0.737
best acc5(epoch-6),0.753,0.585,0.76,0.755,0.569,0.732
best acc10(epoch-8),0.782,0.55,0.755,0.766,0.562,0.737
