epoch,human_srcc,human_acc5,human_acc10,srcc,acc5,acc10
0,0.73,0.52,0.692,0.744,0.516,0.704
best human_srcc(epoch-0),0.73,0.52,0.692,0.744,0.516,0.704
best human_acc5(epoch-0),0.73,0.52,0.692,0.744,0.516,0.704
best human_acc10(epoch-0),0.73,0.52,0.692,0.744,0.516,0.704
best srcc(epoch-0),0.73,0.52,0.692,0.744,0.516,0.704
best acc5(epoch-0),0.73,0.52,0.692,0.744,0.516,0.704
best acc10(epoch-0),0.73,0.52,0.692,0.744,0.516,0.704
