epoch,human_srcc,human_acc5,human_acc10,srcc,acc5,acc10
0,0.718,0.357,0.565,0.707,0.429,0.617
1,0.709,0.321,0.527,0.689,0.361,0.559
2,0.698,0.35,0.515,0.679,0.378,0.557
3,0.73,0.43,0.63,0.709,0.475,0.658
4,0.703,0.392,0.616,0.711,0.479,0.652
5,0.744,0.442,0.624,0.74,0.491,0.658
6,0.756,0.467,0.646,0.743,0.492,0.665
best human_srcc(epoch-6),0.756,0.467,0.646,0.743,0.492,0.665
best human_acc5(epoch-6),0.756,0.467,0.646,0.743,0.492,0.665
best human_acc10(epoch-6),0.756,0.467,0.646,0.743,0.492,0.665
best srcc(epoch-6),0.756,0.467,0.646,0.743,0.492,0.665
best acc5(epoch-6),0.756,0.467,0.646,0.743,0.492,0.665
best acc10(epoch-6),0.756,0.467,0.646,0.743,0.492,0.665
